task,source1,source2,roc_auc,auprc
PCBA-1030,PCBA-485364,PCBA-504332,0.612,0.577
PCBA-1458,PCBA-485297,PCBA-485313,0.747,0.680
PCBA-1460,PCBA-504332,PCBA-504333,0.715,0.716
PCBA-2546,PCBA-2551,PCBA-1458,0.662,0.688
PCBA-2551,PCBA-2546,PCBA-504333,0.706,0.709
PCBA-485297,PCBA-485313,PCBA-1458,0.753,0.722
PCBA-485313,PCBA-485297,PCBA-1458,0.753,0.731
PCBA-485364,PCBA-1030,PCBA-504332,0.624,0.630
PCBA-504332,PCBA-1030,PCBA-485364,0.609,0.571
PCBA-504333,PCBA-2551,PCBA-1460,0.664,0.673
