task,source1,source2,roc_auc,auprc
PCBA-1030,PCBA-485364,PCBA-504332,0.616,0.583
PCBA-1458,PCBA-485297,PCBA-485313,0.751,0.680
PCBA-1460,PCBA-504332,PCBA-504333,0.718,0.719
PCBA-2546,PCBA-2551,PCBA-1458,0.659,0.685
PCBA-2551,PCBA-2546,PCBA-504333,0.708,0.711
PCBA-485297,PCBA-485313,PCBA-1458,0.750,0.719
PCBA-485313,PCBA-485297,PCBA-1458,0.753,0.730
PCBA-485364,PCBA-1030,PCBA-504332,0.643,0.640
PCBA-504332,PCBA-1030,PCBA-485364,0.614,0.581
PCBA-504333,PCBA-2551,PCBA-1460,0.662,0.671
