task,roc_auc,auprc
PCBA-1030,0.612,0.578
PCBA-1458,0.749,0.693
PCBA-1460,0.695,0.708
PCBA-2546,0.668,0.692
PCBA-2551,0.718,0.733
PCBA-485297,0.735,0.671
PCBA-485313,0.739,0.713
PCBA-485364,0.604,0.587
PCBA-504332,0.509,0.514
PCBA-504333,0.570,0.583
