task,roc_auc,auprc
PCBA-1030,0.613,0.581
PCBA-1458,0.751,0.702
PCBA-1460,0.676,0.695
PCBA-2546,0.664,0.687
PCBA-2551,0.711,0.720
PCBA-485297,0.738,0.687
PCBA-485313,0.739,0.716
PCBA-485364,0.594,0.569
PCBA-504332,0.505,0.513
PCBA-504333,0.614,0.625
