source_task,am,rsa,motse
PCBA-1030,-0.0250,0.9011,0.5702
PCBA-1458,0.4288,0.9144,0.7544
PCBA-1460,0.1262,0.8678,0.6241
PCBA-2546,0.0896,0.7199,0.5798
PCBA-2551,0.0618,0.6659,0.5579
PCBA-485297,0.5251,0.9654,0.8031
PCBA-485313,0.5302,0.9635,0.8048
PCBA-485364,-0.1543,0.8568,0.5096
PCBA-504332,0.0057,0.7841,0.5591
PCBA-504333,0.0947,0.5626,0.5504
PCBA-504339,0.0162,0.5786,0.5222
PCBA-504444,0.0252,0.8406,0.5782
PCBA-504467,-0.0690,0.8485,0.5421
PCBA-588342,1.0000,1.0000,1.0000
PCBA-624296,-0.0073,0.7144,0.5400
PCBA-624297,-0.0355,0.7587,0.5375
PCBA-624417,0.0019,0.6927,0.5393
PCBA-651965,0.1219,0.8224,0.6132
PCBA-652104,0.2522,0.6420,0.6293
PCBA-686970,-0.1992,0.7106,0.4624
PCBA-686978,-0.0674,0.8461,0.5422
PCBA-686979,-0.0565,0.8315,0.5437
PCBA-720504,0.0283,0.7442,0.5602
