source_task,am,rsa,motse
PCBA-1030,0.3537,0.3692,0.6153
PCBA-1458,-0.0289,0.6364,0.5157
PCBA-1460,0.2415,0.7426,0.6451
PCBA-2546,0.2128,0.7116,0.6274
PCBA-2551,0.2263,0.8442,0.6593
PCBA-485297,-0.0809,0.5512,0.4779
PCBA-485313,-0.0580,0.5298,0.4828
PCBA-485364,0.1327,0.4399,0.5411
PCBA-504332,0.3676,0.2973,0.6065
PCBA-504333,1.0000,1.0000,1.0000
PCBA-504339,0.6275,0.9614,0.8433
PCBA-504444,0.1789,0.4861,0.5688
PCBA-504467,0.0408,0.4799,0.5123
PCBA-588342,0.0947,0.5626,0.5504
PCBA-624296,0.2249,0.4931,0.5886
PCBA-624297,0.1391,0.6356,0.5828
PCBA-624417,0.2844,0.5847,0.6307
PCBA-651965,-0.1731,0.6656,0.4639
PCBA-652104,0.2444,0.4853,0.5948
PCBA-686970,0.1565,0.5314,0.5689
PCBA-686978,0.2155,0.6483,0.6158
PCBA-686979,0.3006,0.6283,0.6459
PCBA-720504,0.1734,0.8397,0.6373
