source_task,am,rsa,motse
PCBA-1030,0.0527,0.8278,0.5866
PCBA-1458,0.1681,0.8276,0.6328
PCBA-1460,0.1677,0.7181,0.6107
PCBA-2546,0.3389,0.6874,0.6730
PCBA-2551,0.3661,0.5858,0.6636
PCBA-485297,0.1043,0.8637,0.6145
PCBA-485313,0.0914,0.8571,0.6080
PCBA-485364,0.1582,0.7244,0.6082
PCBA-504332,0.1060,0.7442,0.5912
PCBA-504333,0.0408,0.4799,0.5123
PCBA-504339,0.0037,0.5048,0.5024
PCBA-504444,0.4346,0.8363,0.7411
PCBA-504467,1.0000,1.0000,1.0000
PCBA-588342,-0.0690,0.8485,0.5421
PCBA-624296,0.4658,0.6634,0.7190
PCBA-624297,0.4859,0.8076,0.7559
PCBA-624417,0.2724,0.6631,0.6416
PCBA-651965,0.1436,0.8458,0.6266
PCBA-652104,0.0292,0.4567,0.5030
PCBA-686970,0.4636,0.6106,0.7076
PCBA-686978,0.6428,0.7315,0.8034
PCBA-686979,0.5542,0.7595,0.7736
PCBA-720504,-0.3245,0.5840,0.3870
