source_task,am,rsa,motse
PCBA-1030,0.1535,0.7171,0.6048
PCBA-1458,0.1574,0.7585,0.6147
PCBA-1460,0.0746,0.7354,0.5769
PCBA-2546,0.3096,0.7115,0.6661
PCBA-2551,0.2937,0.6943,0.6564
PCBA-485297,0.0761,0.7880,0.5880
PCBA-485313,0.0189,0.8122,0.5700
PCBA-485364,0.3257,0.7480,0.6799
PCBA-504332,0.1051,0.4561,0.5332
PCBA-504333,0.1391,0.6356,0.5828
PCBA-504339,0.1113,0.6662,0.5778
PCBA-504444,0.4790,0.8460,0.7608
PCBA-504467,0.4859,0.8076,0.7559
PCBA-588342,-0.0355,0.7587,0.5375
PCBA-624296,0.6405,0.8762,0.8314
PCBA-624297,1.0000,1.0000,1.0000
PCBA-624417,0.3690,0.8718,0.7220
PCBA-651965,0.1109,0.8080,0.6060
PCBA-652104,0.1285,0.6180,0.5750
PCBA-686970,0.5958,0.8630,0.8109
PCBA-686978,0.5526,0.8904,0.7991
PCBA-686979,0.5438,0.9045,0.7984
PCBA-720504,-0.0467,0.7265,0.5266
