source_task,am,rsa,motse
PCBA-1030,0.2962,0.7460,0.6677
PCBA-1458,0.1636,0.6656,0.5986
PCBA-1460,0.0640,0.6262,0.5508
PCBA-2546,0.2753,0.5425,0.6186
PCBA-2551,0.3067,0.5522,0.6331
PCBA-485297,0.1199,0.7436,0.5967
PCBA-485313,0.0688,0.8090,0.5893
PCBA-485364,0.2525,0.7817,0.6574
PCBA-504332,0.0924,0.3965,0.5163
PCBA-504333,0.2249,0.4931,0.5886
PCBA-504339,0.1635,0.5302,0.5715
PCBA-504444,0.6359,0.8317,0.8207
PCBA-504467,0.4658,0.6634,0.7190
PCBA-588342,-0.0073,0.7144,0.5400
PCBA-624296,1.0000,1.0000,1.0000
PCBA-624297,0.6405,0.8762,0.8314
PCBA-624417,0.6126,0.8333,0.8117
PCBA-651965,0.0350,0.6211,0.5382
PCBA-652104,0.2725,0.7877,0.6665
PCBA-686970,0.6662,0.9661,0.8597
PCBA-686978,0.5975,0.8739,0.8138
PCBA-686979,0.6756,0.8736,0.8450
PCBA-720504,-0.1454,0.6275,0.4673
