source_task,am,rsa,motse
PCBA-1030,-0.0437,0.8990,0.5623
PCBA-1458,0.6267,0.9095,0.8326
PCBA-1460,-0.0619,0.8407,0.5434
PCBA-2546,0.0907,0.7352,0.5833
PCBA-2551,0.0152,0.6796,0.5420
PCBA-485297,1.0000,1.0000,1.0000
PCBA-485313,0.8202,0.9826,0.9246
PCBA-485364,-0.1153,0.8506,0.5240
PCBA-504332,-0.1436,0.7642,0.4954
PCBA-504333,-0.0809,0.5512,0.4779
PCBA-504339,-0.1926,0.5660,0.4362
PCBA-504444,0.1040,0.8571,0.6130
PCBA-504467,0.1043,0.8637,0.6145
PCBA-588342,0.5251,0.9654,0.8031
PCBA-624296,0.1199,0.7436,0.5967
PCBA-624297,0.0761,0.7880,0.5880
PCBA-624417,0.0917,0.7083,0.5783
PCBA-651965,0.2811,0.8136,0.6752
PCBA-652104,0.2174,0.6462,0.6162
PCBA-686970,-0.1534,0.7444,0.4875
PCBA-686978,0.0112,0.8591,0.5763
PCBA-686979,-0.0035,0.8455,0.5677
PCBA-720504,-0.1744,0.7278,0.4758
