source_task,am,rsa,motse
PCBA-1030,-0.0849,0.9215,0.5503
PCBA-1458,0.5981,0.8931,0.8179
PCBA-1460,-0.0622,0.8147,0.5381
PCBA-2546,0.1264,0.7040,0.5914
PCBA-2551,0.0598,0.6442,0.5527
PCBA-485297,0.8202,0.9826,0.9246
PCBA-485313,1.0000,1.0000,1.0000
PCBA-485364,-0.1540,0.8855,0.5155
PCBA-504332,-0.1679,0.7315,0.4791
PCBA-504333,-0.0580,0.5298,0.4828
PCBA-504339,-0.1880,0.5489,0.4346
PCBA-504444,0.0612,0.8870,0.6019
PCBA-504467,0.0914,0.8571,0.6080
PCBA-588342,0.5302,0.9635,0.8048
PCBA-624296,0.0688,0.8090,0.5893
PCBA-624297,0.0189,0.8122,0.5700
PCBA-624417,0.0798,0.7410,0.5801
PCBA-651965,0.2845,0.7946,0.6727
PCBA-652104,0.1926,0.7012,0.6173
PCBA-686970,-0.1844,0.8001,0.4863
PCBA-686978,0.0111,0.8852,0.5815
PCBA-686979,-0.0197,0.8717,0.5665
PCBA-720504,-0.2094,0.7085,0.4580
