source_task,am,rsa,motse
PCBA-1030,0.4482,0.9063,0.7605
PCBA-1458,-0.0556,0.7406,0.5259
PCBA-1460,0.1165,0.7272,0.5920
PCBA-2546,0.0415,0.5580,0.5282
PCBA-2551,0.0453,0.5113,0.5204
PCBA-485297,-0.1153,0.8506,0.5240
PCBA-485313,-0.1540,0.8855,0.5155
PCBA-485364,1.0000,1.0000,1.0000
PCBA-504332,0.3503,0.6317,0.6665
PCBA-504333,0.1327,0.4399,0.5411
PCBA-504339,0.1975,0.4378,0.5665
PCBA-504444,0.1737,0.7366,0.6168
PCBA-504467,0.1582,0.7244,0.6082
PCBA-588342,-0.1543,0.8568,0.5096
PCBA-624296,0.2525,0.7817,0.6574
PCBA-624297,0.3257,0.7480,0.6799
PCBA-624417,0.0337,0.6425,0.5420
PCBA-651965,-0.1174,0.6509,0.4832
PCBA-652104,-0.0799,0.6988,0.5078
PCBA-686970,0.2851,0.8145,0.6769
PCBA-686978,0.1868,0.8130,0.6373
PCBA-686979,0.2865,0.7590,0.6664
PCBA-720504,0.2325,0.6540,0.6238
