source_task,am,rsa,motse
PCBA-1030,0.1788,0.7302,0.6176
PCBA-1458,-0.0293,0.6817,0.5246
PCBA-1460,0.0899,0.6755,0.5711
PCBA-2546,0.2361,0.5790,0.6102
PCBA-2551,0.2500,0.5992,0.6198
PCBA-485297,-0.1534,0.7444,0.4875
PCBA-485313,-0.1844,0.8001,0.4863
PCBA-485364,0.2851,0.8145,0.6769
PCBA-504332,0.1541,0.3459,0.5308
PCBA-504333,0.1565,0.5314,0.5689
PCBA-504339,0.1872,0.5660,0.5881
PCBA-504444,0.5702,0.7624,0.7806
PCBA-504467,0.4636,0.6106,0.7076
PCBA-588342,-0.1992,0.7106,0.4624
PCBA-624296,0.6662,0.9661,0.8597
PCBA-624297,0.5958,0.8630,0.8109
PCBA-624417,0.5593,0.8196,0.7876
PCBA-651965,-0.0651,0.6234,0.4987
PCBA-652104,0.0140,0.8106,0.5677
PCBA-686970,1.0000,1.0000,1.0000
PCBA-686978,0.5947,0.9063,0.8191
PCBA-686979,0.6495,0.8775,0.8353
PCBA-720504,-0.1485,0.6823,0.4770
