source_task,am,rsa,motse
PCBA-1030,0.1835,0.7781,0.6290
PCBA-1458,0.1348,0.8094,0.6158
PCBA-1460,0.1863,0.8139,0.6373
PCBA-2546,0.3686,0.7760,0.7026
PCBA-2551,0.4028,0.7497,0.7111
PCBA-485297,0.0112,0.8591,0.5763
PCBA-485313,0.0111,0.8852,0.5815
PCBA-485364,0.1868,0.8130,0.6373
PCBA-504332,0.1789,0.4869,0.5689
PCBA-504333,0.2155,0.6483,0.6158
PCBA-504339,0.1454,0.6891,0.5960
PCBA-504444,0.4822,0.8397,0.7608
PCBA-504467,0.6428,0.7315,0.8034
PCBA-588342,-0.0674,0.8461,0.5422
PCBA-624296,0.5975,0.8739,0.8138
PCBA-624297,0.5526,0.8904,0.7991
PCBA-624417,0.5448,0.8808,0.7941
PCBA-651965,0.0064,0.8073,0.5640
PCBA-652104,0.1417,0.7460,0.6059
PCBA-686970,0.5947,0.9063,0.8191
PCBA-686978,1.0000,1.0000,1.0000
PCBA-686979,0.7330,0.9612,0.8854
PCBA-720504,-0.2233,0.7894,0.4685
