source_task,am,rsa,motse
PCBA-1030,0.1779,0.6352,0.5982
PCBA-1458,0.1242,0.6009,0.5699
PCBA-1460,0.0602,0.5847,0.5410
PCBA-2546,0.0492,0.4349,0.5067
PCBA-2551,0.0449,0.4837,0.5147
PCBA-485297,0.2174,0.6462,0.6162
PCBA-485313,0.1926,0.7012,0.6173
PCBA-485364,-0.0799,0.6988,0.5078
PCBA-504332,0.0473,0.3824,0.4954
PCBA-504333,0.2444,0.4853,0.5948
PCBA-504339,0.1343,0.5143,0.5566
PCBA-504444,0.1710,0.5906,0.5865
PCBA-504467,0.0292,0.4567,0.5030
PCBA-588342,0.2522,0.6420,0.6293
PCBA-624296,0.2725,0.7877,0.6665
PCBA-624297,0.1285,0.6180,0.5750
PCBA-624417,0.2707,0.6495,0.6382
PCBA-651965,-0.0623,0.4563,0.4664
PCBA-652104,1.0000,1.0000,1.0000
PCBA-686970,0.0140,0.8106,0.5677
PCBA-686978,0.1417,0.7460,0.6059
PCBA-686979,0.1088,0.6950,0.5825
PCBA-720504,0.0656,0.6206,0.5504
