source_task,am,rsa,motse
PCBA-1030,0.1826,0.7944,0.6319
PCBA-1458,0.1512,0.7634,0.6132
PCBA-1460,-0.0075,0.6721,0.5314
PCBA-2546,0.1678,0.6756,0.6022
PCBA-2551,0.1874,0.6024,0.5955
PCBA-485297,0.1040,0.8571,0.6130
PCBA-485313,0.0612,0.8870,0.6019
PCBA-485364,0.1737,0.7366,0.6168
PCBA-504332,0.0379,0.6318,0.5415
PCBA-504333,0.1789,0.4861,0.5688
PCBA-504339,0.1155,0.5341,0.5530
PCBA-504444,1.0000,1.0000,1.0000
PCBA-504467,0.4346,0.8363,0.7411
PCBA-588342,0.0252,0.8406,0.5782
PCBA-624296,0.6359,0.8317,0.8207
PCBA-624297,0.4790,0.8460,0.7608
PCBA-624417,0.5925,0.8474,0.8065
PCBA-651965,-0.0081,0.7852,0.5538
PCBA-652104,0.1710,0.5906,0.5865
PCBA-686970,0.5702,0.7624,0.7806
PCBA-686978,0.4822,0.8397,0.7608
PCBA-686979,0.5604,0.8918,0.8025
PCBA-720504,-0.2680,0.5797,0.4087
