source_task,am,rsa,motse
PCBA-1030,0.3151,0.3927,0.6046
PCBA-1458,-0.1515,0.6548,0.4703
PCBA-1460,0.2066,0.7537,0.6334
PCBA-2546,0.0909,0.7641,0.5892
PCBA-2551,0.1137,0.8777,0.6210
PCBA-485297,-0.1926,0.5660,0.4362
PCBA-485313,-0.1880,0.5489,0.4346
PCBA-485364,0.1975,0.4378,0.5665
PCBA-504332,0.4135,0.3050,0.6264
PCBA-504333,0.6275,0.9614,0.8433
PCBA-504339,1.0000,1.0000,1.0000
PCBA-504444,0.1155,0.5341,0.5530
PCBA-504467,0.0037,0.5048,0.5024
PCBA-588342,0.0162,0.5786,0.5222
PCBA-624296,0.1635,0.5302,0.5715
PCBA-624297,0.1113,0.6662,0.5778
PCBA-624417,0.1859,0.6525,0.6049
PCBA-651965,-0.1861,0.7211,0.4698
PCBA-652104,0.1343,0.5143,0.5566
PCBA-686970,0.1872,0.5660,0.5881
PCBA-686978,0.1454,0.6891,0.5960
PCBA-686979,0.2429,0.6882,0.6348
PCBA-720504,0.2500,0.8340,0.6668
