source_task,am,rsa,motse
PCBA-1030,0.0465,0.5888,0.5363
PCBA-1458,0.2119,0.7654,0.6378
PCBA-1460,0.1690,0.8149,0.6306
PCBA-2546,1.0000,1.0000,1.0000
PCBA-2551,0.5903,0.9151,0.8192
PCBA-485297,0.0907,0.7352,0.5833
PCBA-485313,0.1264,0.7040,0.5914
PCBA-485364,0.0415,0.5580,0.5282
PCBA-504332,0.1165,0.4766,0.5419
PCBA-504333,0.2128,0.7116,0.6274
PCBA-504339,0.0909,0.7641,0.5892
PCBA-504444,0.1678,0.6756,0.6022
PCBA-504467,0.3389,0.6874,0.6730
PCBA-588342,0.0896,0.7199,0.5798
PCBA-624296,0.2753,0.5425,0.6186
PCBA-624297,0.3096,0.7115,0.6661
PCBA-624417,0.2111,0.6962,0.6237
PCBA-651965,0.0795,0.9139,0.6146
PCBA-652104,0.0492,0.4349,0.5067
PCBA-686970,0.2361,0.5790,0.6102
PCBA-686978,0.3686,0.7760,0.7026
PCBA-686979,0.3944,0.8015,0.7181
PCBA-720504,-0.0619,0.7140,0.5180
