source_task,am,rsa,motse
PCBA-1030,0.1641,0.6175,0.5892
PCBA-1458,0.1223,0.6484,0.5786
PCBA-1460,-0.0260,0.6268,0.5150
PCBA-2546,0.2111,0.6962,0.6237
PCBA-2551,0.2302,0.6578,0.6236
PCBA-485297,0.0917,0.7083,0.5783
PCBA-485313,0.0798,0.7410,0.5801
PCBA-485364,0.0337,0.6425,0.5420
PCBA-504332,0.0763,0.4020,0.5109
PCBA-504333,0.2844,0.5847,0.6307
PCBA-504339,0.1859,0.6525,0.6049
PCBA-504444,0.5925,0.8474,0.8065
PCBA-504467,0.2724,0.6631,0.6416
PCBA-588342,0.0019,0.6927,0.5393
PCBA-624296,0.6126,0.8333,0.8117
PCBA-624297,0.3690,0.8718,0.7220
PCBA-624417,1.0000,1.0000,1.0000
PCBA-651965,-0.1141,0.7331,0.5010
PCBA-652104,0.2707,0.6495,0.6382
PCBA-686970,0.5593,0.8196,0.7876
PCBA-686978,0.5448,0.8808,0.7941
PCBA-686979,0.5961,0.9156,0.8215
PCBA-720504,-0.2213,0.6172,0.4349
