source_task,am,rsa,motse
PCBA-1030,-0.0893,0.8000,0.5243
PCBA-1458,1.0000,1.0000,1.0000
PCBA-1460,0.0289,0.9060,0.5928
PCBA-2546,0.2119,0.7654,0.6378
PCBA-2551,0.1736,0.7376,0.6169
PCBA-485297,0.6267,0.9095,0.8326
PCBA-485313,0.5981,0.8931,0.8179
PCBA-485364,-0.0556,0.7406,0.5259
PCBA-504332,-0.0984,0.6881,0.4983
PCBA-504333,-0.0289,0.6364,0.5157
PCBA-504339,-0.1515,0.6548,0.4703
PCBA-504444,0.1512,0.7634,0.6132
PCBA-504467,0.1681,0.8276,0.6328
PCBA-588342,0.4288,0.9144,0.7544
PCBA-624296,0.1636,0.6656,0.5986
PCBA-624297,0.1574,0.7585,0.6147
PCBA-624417,0.1223,0.6484,0.5786
PCBA-651965,0.2735,0.8493,0.6792
PCBA-652104,0.1242,0.6009,0.5699
PCBA-686970,-0.0293,0.6817,0.5246
PCBA-686978,0.1348,0.8094,0.6158
PCBA-686979,0.1129,0.7979,0.6047
PCBA-720504,-0.2215,0.7878,0.4690
