source_task,am,rsa,motse
PCBA-1030,0.1785,0.7214,0.6157
PCBA-1458,0.0289,0.9060,0.5928
PCBA-1460,1.0000,1.0000,1.0000
PCBA-2546,0.1690,0.8149,0.6306
PCBA-2551,0.1405,0.8623,0.6286
PCBA-485297,-0.0619,0.8407,0.5434
PCBA-485313,-0.0622,0.8147,0.5381
PCBA-485364,0.1165,0.7272,0.5920
PCBA-504332,0.3465,0.5761,0.6538
PCBA-504333,0.2415,0.7426,0.6451
PCBA-504339,0.2066,0.7537,0.6334
PCBA-504444,-0.0075,0.6721,0.5314
PCBA-504467,0.1677,0.7181,0.6107
PCBA-588342,0.1262,0.8678,0.6241
PCBA-624296,0.0640,0.6262,0.5508
PCBA-624297,0.0746,0.7354,0.5769
PCBA-624417,-0.0260,0.6268,0.5150
PCBA-651965,-0.1046,0.8559,0.5294
PCBA-652104,0.0602,0.5847,0.5410
PCBA-686970,0.0899,0.6755,0.5711
PCBA-686978,0.1863,0.8139,0.6373
PCBA-686979,0.1938,0.7891,0.6354
PCBA-720504,0.1346,0.8882,0.6315
