source_task,am,rsa,motse
PCBA-1030,0.0759,0.4975,0.5298
PCBA-1458,0.1736,0.7376,0.6169
PCBA-1460,0.1405,0.8623,0.6286
PCBA-2546,0.5903,0.9151,0.8192
PCBA-2551,1.0000,1.0000,1.0000
PCBA-485297,0.0152,0.6796,0.5420
PCBA-485313,0.0598,0.6442,0.5527
PCBA-485364,0.0453,0.5113,0.5204
PCBA-504332,0.0929,0.3803,0.5132
PCBA-504333,0.2263,0.8442,0.6593
PCBA-504339,0.1137,0.8777,0.6210
PCBA-504444,0.1874,0.6024,0.5955
PCBA-504467,0.3661,0.5858,0.6636
PCBA-588342,0.0618,0.6659,0.5579
PCBA-624296,0.3067,0.5522,0.6331
PCBA-624297,0.2937,0.6943,0.6564
PCBA-624417,0.2302,0.6578,0.6236
PCBA-651965,0.0454,0.8350,0.5852
PCBA-652104,0.0449,0.4837,0.5147
PCBA-686970,0.2500,0.5992,0.6198
PCBA-686978,0.4028,0.7497,0.7111
PCBA-686979,0.4085,0.7627,0.7159
PCBA-720504,-0.0946,0.8264,0.5274
