source_task,am,rsa,motse
PCBA-1030,0.3322,0.5925,0.6514
PCBA-1458,-0.2215,0.7878,0.4690
PCBA-1460,0.1346,0.8882,0.6315
PCBA-2546,-0.0619,0.7140,0.5180
PCBA-2551,-0.0946,0.8264,0.5274
PCBA-485297,-0.1744,0.7278,0.4758
PCBA-485313,-0.2094,0.7085,0.4580
PCBA-485364,0.2325,0.6540,0.6238
PCBA-504332,0.2926,0.4386,0.6048
PCBA-504333,0.1734,0.8397,0.6373
PCBA-504339,0.2500,0.8340,0.6668
PCBA-504444,-0.2680,0.5797,0.4087
PCBA-504467,-0.3245,0.5840,0.3870
PCBA-588342,0.0283,0.7442,0.5602
PCBA-624296,-0.1454,0.6275,0.4673
PCBA-624297,-0.0467,0.7265,0.5266
PCBA-624417,-0.2213,0.6172,0.4349
PCBA-651965,-0.2613,0.7158,0.4386
PCBA-652104,0.0656,0.6206,0.5504
PCBA-686970,-0.1485,0.6823,0.4770
PCBA-686978,-0.2233,0.7894,0.4685
PCBA-686979,-0.1209,0.7341,0.4985
PCBA-720504,1.0000,1.0000,1.0000
