source_task,am,rsa,motse
PCBA-1030,0.4228,0.7767,0.7244
PCBA-1458,-0.0984,0.6881,0.4983
PCBA-1460,0.3465,0.5761,0.6538
PCBA-2546,0.1165,0.4766,0.5419
PCBA-2551,0.0929,0.3803,0.5132
PCBA-485297,-0.1436,0.7642,0.4954
PCBA-485313,-0.1679,0.7315,0.4791
PCBA-485364,0.3503,0.6317,0.6665
PCBA-504332,1.0000,1.0000,1.0000
PCBA-504333,0.3676,0.2973,0.6065
PCBA-504339,0.4135,0.3050,0.6264
PCBA-504444,0.0379,0.6318,0.5415
PCBA-504467,0.1060,0.7442,0.5912
PCBA-588342,0.0057,0.7841,0.5591
PCBA-624296,0.0924,0.3965,0.5163
PCBA-624297,0.1051,0.4561,0.5332
PCBA-624417,0.0763,0.4020,0.5109
PCBA-651965,-0.2227,0.5869,0.4283
PCBA-652104,0.0473,0.3824,0.4954
PCBA-686970,0.1541,0.3459,0.5308
PCBA-686978,0.1789,0.4869,0.5689
PCBA-686979,0.2660,0.4969,0.6058
PCBA-720504,0.2926,0.4386,0.6048
