source_task,am,rsa,motse
PCBA-1030,-0.2519,0.7017,0.4396
PCBA-1458,0.2735,0.8493,0.6792
PCBA-1460,-0.1046,0.8559,0.5294
PCBA-2546,0.0795,0.9139,0.6146
PCBA-2551,0.0454,0.8350,0.5852
PCBA-485297,0.2811,0.8136,0.6752
PCBA-485313,0.2845,0.7946,0.6727
PCBA-485364,-0.1174,0.6509,0.4832
PCBA-504332,-0.2227,0.5869,0.4283
PCBA-504333,-0.1731,0.6656,0.4639
PCBA-504339,-0.1861,0.7211,0.4698
PCBA-504444,-0.0081,0.7852,0.5538
PCBA-504467,0.1436,0.8458,0.6266
PCBA-588342,0.1219,0.8224,0.6132
PCBA-624296,0.0350,0.6211,0.5382
PCBA-624297,0.1109,0.8080,0.6060
PCBA-624417,-0.1141,0.7331,0.5010
PCBA-651965,1.0000,1.0000,1.0000
PCBA-652104,-0.0623,0.4563,0.4664
PCBA-686970,-0.0651,0.6234,0.4987
PCBA-686978,0.0064,0.8073,0.5640
PCBA-686979,-0.1151,0.8425,0.5225
PCBA-720504,-0.2613,0.7158,0.4386
