source_task,am,rsa,motse
PCBA-1030,1.0000,1.0000,1.0000
PCBA-1458,-0.0893,0.8000,0.5243
PCBA-1460,0.1785,0.7214,0.6157
PCBA-2546,0.0465,0.5888,0.5363
PCBA-2551,0.0759,0.4975,0.5298
PCBA-485297,-0.0437,0.8990,0.5623
PCBA-485313,-0.0849,0.9215,0.5503
PCBA-485364,0.4482,0.9063,0.7605
PCBA-504332,0.4228,0.7767,0.7244
PCBA-504333,0.3537,0.3692,0.6153
PCBA-504339,0.3151,0.3927,0.6046
PCBA-504444,0.1826,0.7944,0.6319
PCBA-504467,0.0527,0.8278,0.5866
PCBA-588342,-0.0250,0.9011,0.5702
PCBA-624296,0.2962,0.7460,0.6677
PCBA-624297,0.1535,0.7171,0.6048
PCBA-624417,0.1641,0.6175,0.5892
PCBA-651965,-0.2519,0.7017,0.4396
PCBA-652104,0.1779,0.6352,0.5982
PCBA-686970,0.1788,0.7302,0.6176
PCBA-686978,0.1835,0.7781,0.6290
PCBA-686979,0.3503,0.7690,0.6939
PCBA-720504,0.3322,0.5925,0.6514
