task,source1,r2,mae
alpha,zpve,0.776,2.793
mu,r2,0.345,0.855
homo,lumo,0.226,0.014
lumo,gap,0.207,0.033
gap,lumo,0.247,0.034
r2,alpha,0.340,170.988
zpve,alpha,0.573,0.017
u0,h298,0.971,3.749
u298,g298,0.974,3.838
h298,u0,0.977,3.909
