task,source1,r2,mae
alpha,zpve,0.772,2.788
mu,r2,0.348,0.859
homo,lumo,0.222,0.013
lumo,gap,0.202,0.032
gap,lumo,0.249,0.035
r2,alpha,0.335,168.833
zpve,alpha,0.578,0.019
u0,h298,0.972,3.78
u298,g298,0.962,3.819
h298,u0,0.979,3.916
