task,source1,source2,source3,roc_auc,auprc
PCBA-1030,PCBA-485364,PCBA-504332,PCBA-1460,0.612,0.578
PCBA-1458,PCBA-485297,PCBA-485313,PCBA-2546,0.746,0.674
PCBA-1460,PCBA-504332,PCBA-504333,PCBA-2546,0.717,0.718
PCBA-2546,PCBA-2551,PCBA-1458,PCBA-1460,0.675,0.694
PCBA-2551,PCBA-2546,PCBA-504333,PCBA-1460,0.725,0.720
PCBA-485297,PCBA-485313,PCBA-1458,PCBA-2546,0.752,0.726
PCBA-485313,PCBA-485297,PCBA-1458,PCBA-2546,0.739,0.713
PCBA-485364,PCBA-1030,PCBA-504332,PCBA-1460,0.644,0.644
PCBA-504332,PCBA-1030,PCBA-485364,PCBA-1460,0.599,0.565
PCBA-504333,PCBA-2551,PCBA-1460,PCBA-2546,0.669,0.679
