task,source1,source2,source3,roc_auc,auprc
PCBA-1030,PCBA-485364,PCBA-504332,PCBA-1460,0.618,0.586
PCBA-1458,PCBA-485297,PCBA-485313,PCBA-2546,0.744,0.676
PCBA-1460,PCBA-504332,PCBA-504333,PCBA-2546,0.715,0.720
PCBA-2546,PCBA-2551,PCBA-1458,PCBA-1460,0.671,0.687
PCBA-2551,PCBA-2546,PCBA-504333,PCBA-1460,0.712,0.711
PCBA-485297,PCBA-485313,PCBA-1458,PCBA-2546,0.742,0.712
PCBA-485313,PCBA-485297,PCBA-1458,PCBA-2546,0.726,0.686
PCBA-485364,PCBA-1030,PCBA-504332,PCBA-1460,0.661,0.650
PCBA-504332,PCBA-1030,PCBA-485364,PCBA-1460,0.601,0.555
PCBA-504333,PCBA-2551,PCBA-1460,PCBA-2546,0.665,0.671
