task,r2,mae
mu,0.437,0.788
alpha,0.858,2.253
homo,0.383,0.013
lumo,0.355,0.03
gap,0.327,0.032
r2,0.663,113.072
zpve,0.612,0.016
u0,0.995,2.143
u298,0.988,2.6
h298,0.99,2.388
g298,0.984,2.744
cv,0.794,1.436
