task,source,roc_auc,auprc
PCBA-1030,PCBA-485364,0.620,0.582
PCBA-1030,PCBA-504332,0.624,0.602
PCBA-1030,PCBA-1460,0.604,0.579
PCBA-1458,PCBA-485297,0.780,0.737
PCBA-1458,PCBA-485313,0.777,0.729
PCBA-1458,PCBA-2546,0.691,0.619
PCBA-1460,PCBA-504332,0.747,0.748
PCBA-1460,PCBA-504333,0.749,0.752
PCBA-1460,PCBA-2546,0.723,0.727
PCBA-2546,PCBA-2551,0.697,0.720
PCBA-2546,PCBA-1458,0.653,0.646
PCBA-2546,PCBA-1460,0.680,0.689
PCBA-2551,PCBA-2546,0.752,0.749
PCBA-2551,PCBA-504333,0.713,0.718
PCBA-2551,PCBA-1460,0.732,0.716
PCBA-485297,PCBA-485313,0.795,0.778
PCBA-485297,PCBA-1458,0.802,0.781
PCBA-485297,PCBA-2546,0.741,0.712
PCBA-485313,PCBA-485297,0.806,0.797
PCBA-485313,PCBA-1458,0.808,0.798
PCBA-485313,PCBA-2546,0.713,0.678
PCBA-485364,PCBA-1030,0.644,0.638
PCBA-485364,PCBA-504332,0.662,0.671
PCBA-485364,PCBA-1460,0.671,0.664
PCBA-504332,PCBA-1030,0.612,0.580
PCBA-504332,PCBA-485364,0.630,0.586
PCBA-504332,PCBA-1460,0.654,0.624
PCBA-504333,PCBA-2551,0.684,0.676
PCBA-504333,PCBA-1460,0.671,0.670
PCBA-504333,PCBA-2546,0.677,0.676
