task,source,roc_auc,auprc
PCBA-1030,PCBA-485364,0.618,0.574
PCBA-1030,PCBA-504332,0.630,0.613
PCBA-1030,PCBA-1460,0.597,0.569
PCBA-1458,PCBA-485297,0.778,0.730
PCBA-1458,PCBA-485313,0.775,0.726
PCBA-1458,PCBA-2546,0.690,0.617
PCBA-1460,PCBA-504332,0.750,0.757
PCBA-1460,PCBA-504333,0.750,0.754
PCBA-1460,PCBA-2546,0.725,0.725
PCBA-2546,PCBA-2551,0.697,0.721
PCBA-2546,PCBA-1458,0.671,0.677
PCBA-2546,PCBA-1460,0.669,0.670
PCBA-2551,PCBA-2546,0.757,0.749
PCBA-2551,PCBA-504333,0.718,0.720
PCBA-2551,PCBA-1460,0.734,0.727
PCBA-485297,PCBA-485313,0.792,0.776
PCBA-485297,PCBA-1458,0.806,0.785
PCBA-485297,PCBA-2546,0.734,0.702
PCBA-485313,PCBA-485297,0.810,0.804
PCBA-485313,PCBA-1458,0.805,0.798
PCBA-485313,PCBA-2546,0.707,0.673
PCBA-485364,PCBA-1030,0.664,0.656
PCBA-485364,PCBA-504332,0.662,0.664
PCBA-485364,PCBA-1460,0.670,0.663
PCBA-504332,PCBA-1030,0.606,0.569
PCBA-504332,PCBA-485364,0.624,0.573
PCBA-504332,PCBA-1460,0.660,0.629
PCBA-504333,PCBA-2551,0.675,0.676
PCBA-504333,PCBA-1460,0.676,0.673
PCBA-504333,PCBA-2546,0.666,0.662
