task,roc_auc,auprc
PCBA-1030,0.608,0.578
PCBA-1458,0.747,0.679
PCBA-1460,0.700,0.707
PCBA-2546,0.669,0.693
PCBA-2551,0.719,0.732
PCBA-485297,0.756,0.721
PCBA-485313,0.760,0.741
PCBA-485364,0.620,0.623
PCBA-504332,0.620,0.584
PCBA-504333,0.646,0.648
