task,source1,roc_auc,auprc
PCBA-1030,PCBA-485364,0.613,0.587
PCBA-1458,PCBA-485297,0.752,0.684
PCBA-1460,PCBA-504332,0.701,0.708
PCBA-2546,PCBA-2551,0.672,0.698
PCBA-2551,PCBA-2546,0.728,0.729
PCBA-485297,PCBA-485313,0.752,0.718
PCBA-485313,PCBA-485297,0.759,0.732
PCBA-485364,PCBA-1030,0.616,0.620
PCBA-504332,PCBA-1030,0.614,0.570
PCBA-504333,PCBA-2551,0.648,0.650
