task,source1,roc_auc,auprc
PCBA-1030,PCBA-485364,0.614,0.584
PCBA-1458,PCBA-485297,0.749,0.682
PCBA-1460,PCBA-504332,0.702,0.705
PCBA-2546,PCBA-2551,0.666,0.692
PCBA-2551,PCBA-2546,0.720,0.729
PCBA-485297,PCBA-485313,0.752,0.718
PCBA-485313,PCBA-485297,0.761,0.738
PCBA-485364,PCBA-1030,0.617,0.621
PCBA-504332,PCBA-1030,0.611,0.567
PCBA-504333,PCBA-2551,0.643,0.647
