task,r2,mae
alpha,0.786,2.878
mu,0.335,0.870
homo,0.226,0.014
lumo,0.210,0.034
gap,0.236,0.034
r2,0.382,150.873
zpve,0.536,0.018
u0,0.973,3.812
u298,0.977,3.673
h298,0.981,3.574
