task,r2,mae
mu,0.349,0.881
alpha,0.774,2.839
homo,0.209,0.014
lumo,0.245,0.033
gap,0.261,0.033
r2,0.313,172.363
zpve,0.552,0.017
u0,0.963,4.253
u298,0.956,4.583
h298,0.956,4.583
