task,r2,mae
mu,0.361,0.846
alpha,0.766,2.860
homo,0.210,0.014
lumo,0.243,0.033
gap,0.253,0.033
r2,0.305,176.636
zpve,0.550,0.017
u0,0.974,4.095
u298,0.969,4.114
h298,0.963,4.385
