task,r2,mae
mu,0.347,0.874
alpha,0.751,2.914
homo,0.223,0.014
lumo,0.251,0.033
gap,0.270,0.033
r2,0.304,175.605
zpve,0.558,0.017
u0,0.966,4.121
u298,0.964,4.246
h298,0.970,4.125
