task,source,r2,mae
mu,cv,0.252,0.922
alpha,r2,0.838,2.446
homo,lumo,0.274,0.014
lumo,gap,0.286,0.032
gap,lumo,0.257,0.033
r2,alpha,0.496,142.735
zpve,alpha,0.582,0.016
u0,h298,0.988,2.531
u298,u0,0.993,2.45
h298,u0,0.993,2.418
