task,source,r2,mae
mu,r2,0.258,0.921
alpha,zpve,0.812,2.582
homo,lumo,0.26,0.014
lumo,homo,0.206,0.034
gap,zpve,0.235,0.034
r2,g298,0.303,167.566
zpve,lumo,0.502,0.018
u0,g298,0.982,2.929
u298,g298,0.983,2.814
h298,g298,0.982,2.965
