task,source,r2,mae
mu,r2,0.258,0.921
mu,cv,0.267,0.899
mu,homo,0.362,0.856
alpha,zpve,0.812,2.582
alpha,r2,0.832,2.505
alpha,cv,0.837,2.482
homo,lumo,0.260,0.014
homo,mu,0.248,0.014
homo,cv,0.192,0.014
lumo,gap,0.298,0.032
lumo,zpve,0.230,0.033
lumo,homo,0.206,0.034
gap,lumo,0.286,0.033
gap,zpve,0.235,0.034
gap,alpha,0.161,0.034
r2,alpha,0.480,145.198
r2,u298,0.377,155.982
r2,g298,0.303,167.566
zpve,alpha,0.575,0.016
zpve,gap,0.547,0.017
zpve,lumo,0.502,0.018
u0,h298,0.989,2.462
u0,g298,0.982,2.929
u0,u298,0.987,2.780
u298,g298,0.983,2.814
u298,h298,0.988,2.497
u298,u0,0.994,2.206
h298,u0,0.993,2.392
h298,g298,0.982,2.965
h298,u298,0.986,2.784
