task,r2,mae
alpha,0.765,2.869
mu,0.362,0.860
homo,0.223,0.014
lumo,0.210,0.033
gap,0.252,0.034
r2,0.356,160.194
zpve,0.569,0.017
u0,0.967,3.922
u298,0.972,3.963
h298,0.976,3.796
