task,roc_auc
PCBA-1030,0.614
PCBA-1458,0.749
PCBA-485313,0.761
PCBA-504332,0.611
PCBA-485297,0.753
PCBA-1460,0.717
PCBA-2546,0.675
PCBA-2551,0.725
PCBA-485364,0.644
PCBA-504333,0.669
