task,roc_auc
PCBA-2551,0.731
PCBA-485313,0.762
PCBA-504332,0.618
PCBA-1030,0.62
PCBA-485297,0.747
PCBA-1458,0.744
PCBA-1460,0.715
PCBA-2546,0.671
PCBA-485364,0.661
PCBA-504333,0.665
