task,roc_auc,auprc
PCBA-1030,0.594,0.562
PCBA-1458,0.744,0.671
PCBA-1460,0.708,0.709
PCBA-2546,0.662,0.679
PCBA-2551,0.728,0.721
PCBA-485297,0.723,0.702
PCBA-485313,0.739,0.718
PCBA-485364,0.640,0.639
PCBA-504332,0.609,0.562
PCBA-504333,0.672,0.676
