task,source1,source2,r2,mae
alpha,zpve,r2,0.798,2.710
mu,r2,cv,0.365,0.848
homo,lumo,mu,0.222,0.014
lumo,gap,zpve,0.222,0.033
gap,lumo,zpve,0.238,0.034
r2,alpha,u298,0.409,157.103
zpve,alpha,gap,0.544,0.017
u0,h298,g298,0.972,3.802
u298,g298,h298,0.975,3.888
h298,u0,g298,0.980,3.669
