source_task,am,rsa,motse
mu,-0.0010,0.8256,0.5647
alpha,-0.0197,0.5953,0.5112
homo,1.0000,1.0000,1.0000
lumo,0.1688,0.7287,0.6133
gap,-0.2035,0.7909,0.4768
r2,-0.0031,0.5111,0.5010
zpve,-0.1484,0.7072,0.4821
u0,-0.0606,0.5547,0.4867
u298,-0.0433,0.5762,0.4979
h298,-0.0249,0.5565,0.5013
g298,-0.0297,0.5604,0.5002
cv,0.0213,0.5281,0.5141
