source_task,am,rsa,motse
mu,-0.3687,0.8067,0.4139
alpha,0.5718,0.9003,0.8088
homo,-0.1484,0.7072,0.4821
lumo,0.3453,0.9553,0.7292
gap,0.4735,0.9436,0.7781
r2,0.2436,0.6502,0.6275
zpve,1.0000,1.0000,1.0000
u0,0.3066,0.8869,0.7000
u298,0.2381,0.8960,0.6744
h298,0.2604,0.8864,0.6814
g298,0.2562,0.8773,0.6779
cv,0.1799,0.5664,0.5852
