source_task,am,rsa,motse
mu,-0.1672,0.6931,0.4717
alpha,-0.0116,0.8606,0.5675
homo,-0.0297,0.5604,0.5002
lumo,0.0523,0.8695,0.5948
gap,-0.0065,0.8397,0.5654
r2,0.2684,0.6146,0.6303
zpve,0.2562,0.8773,0.6779
u0,0.9716,0.9932,0.9873
u298,0.9823,0.9933,0.9916
h298,0.9776,0.9960,0.9902
g298,1.0000,1.0000,1.0000
cv,-0.6701,0.5695,0.2459
