source_task,am,rsa,motse
mu,1.0000,1.0000,1.0000
alpha,0.0433,0.6852,0.5544
homo,-0.0010,0.8256,0.5647
lumo,-0.4935,0.7942,0.3615
gap,-0.4637,0.8869,0.3919
r2,0.1867,0.6151,0.5977
zpve,-0.3687,0.8067,0.4139
u0,-0.2364,0.7005,0.4455
u298,-0.1552,0.7036,0.4786
h298,-0.2057,0.6971,0.4571
g298,-0.1672,0.6931,0.4717
cv,0.1216,0.6540,0.5794
