source_task,am,rsa,motse
mu,-0.1552,0.7036,0.4786
alpha,-0.0278,0.8915,0.5672
homo,-0.0433,0.5762,0.4979
lumo,0.0354,0.8883,0.5918
gap,-0.0164,0.8498,0.5634
r2,0.2671,0.6651,0.6398
zpve,0.2381,0.8960,0.6744
u0,0.9683,0.9878,0.9849
u298,1.0000,1.0000,1.0000
h298,0.9768,0.9878,0.9883
g298,0.9823,0.9933,0.9916
cv,-0.6764,0.6023,0.2499
