source_task,am,rsa,motse
mu,-0.4935,0.7942,0.3615
alpha,-0.0304,0.9220,0.5722
homo,0.1688,0.7287,0.6133
lumo,1.0000,1.0000,1.0000
gap,0.6263,0.9512,0.8408
r2,-0.1073,0.6640,0.4899
zpve,0.3453,0.9553,0.7292
u0,0.0813,0.8754,0.6076
u298,0.0354,0.8883,0.5918
h298,0.0638,0.8708,0.5997
g298,0.0523,0.8695,0.5948
cv,0.0388,0.5828,0.5321
