source_task,am,rsa,motse
mu,0.1867,0.6151,0.5977
alpha,0.5202,0.7871,0.7655
homo,-0.0031,0.5111,0.5010
lumo,-0.1073,0.6640,0.4899
gap,-0.1558,0.6156,0.4608
r2,1.0000,1.0000,1.0000
zpve,0.2436,0.6502,0.6275
u0,0.2137,0.6182,0.6091
u298,0.2671,0.6651,0.6398
h298,0.2190,0.6040,0.6084
g298,0.2684,0.6146,0.6303
cv,0.0492,0.8092,0.5815
