source_task,am,rsa,motse
mu,0.1216,0.6540,0.5794
alpha,0.4763,0.6512,0.7208
homo,0.0213,0.5281,0.5141
lumo,0.0388,0.5828,0.5321
gap,0.1531,0.6017,0.5816
r2,0.0492,0.8092,0.5815
zpve,0.1799,0.5664,0.5852
u0,-0.6659,0.5703,0.2477
u298,-0.6764,0.6023,0.2499
h298,-0.6818,0.5571,0.2387
g298,-0.6701,0.5695,0.2459
cv,1.0000,1.0000,1.0000
