source_task,am,rsa,motse
mu,-0.2057,0.6971,0.4571
alpha,-0.0269,0.8537,0.5600
homo,-0.0249,0.5565,0.5013
lumo,0.0638,0.8708,0.5997
gap,0.0212,0.8440,0.5773
r2,0.2190,0.6040,0.6084
zpve,0.2604,0.8864,0.6814
u0,0.9826,0.9978,0.9926
u298,0.9768,0.9878,0.9883
h298,1.0000,1.0000,1.0000
g298,0.9776,0.9960,0.9902
cv,-0.6818,0.5571,0.2387
