source_task,am,rsa,motse
mu,0.0433,0.6852,0.5544
alpha,1.0000,1.0000,1.0000
homo,-0.0197,0.5953,0.5112
lumo,-0.0304,0.9220,0.5722
gap,0.0882,0.8423,0.6038
r2,0.5202,0.7871,0.7655
zpve,0.5718,0.9003,0.8088
u0,-0.0015,0.8598,0.5713
u298,-0.0278,0.8915,0.5672
h298,-0.0269,0.8537,0.5600
g298,-0.0116,0.8606,0.5675
cv,0.4763,0.6512,0.7208
