source_task,am,rsa,motse
mu,-0.4637,0.8869,0.3919
alpha,0.0882,0.8423,0.6038
homo,-0.2035,0.7909,0.4768
lumo,0.6263,0.9512,0.8408
gap,1.0000,1.0000,1.0000
r2,-0.1558,0.6156,0.4608
zpve,0.4735,0.9436,0.7781
u0,0.0698,0.8505,0.5980
u298,-0.0164,0.8498,0.5634
h298,0.0212,0.8440,0.5773
g298,-0.0065,0.8397,0.5654
cv,0.1531,0.6017,0.5816
