source_task,am,rsa,motse
mu,-0.2364,0.7005,0.4455
alpha,-0.0015,0.8598,0.5713
homo,-0.0606,0.5547,0.4867
lumo,0.0813,0.8754,0.6076
gap,0.0698,0.8505,0.5980
r2,0.2137,0.6182,0.6091
zpve,0.3066,0.8869,0.7000
u0,1.0000,1.0000,1.0000
u298,0.9683,0.9878,0.9849
h298,0.9826,0.9978,0.9926
g298,0.9716,0.9932,0.9873
cv,-0.6659,0.5703,0.2477
