task,roc_auc,auprc
PCBA-1030,0.611,0.574
PCBA-1458,0.749,0.687
PCBA-1460,0.717,0.715
PCBA-2546,0.666,0.690
PCBA-2551,0.724,0.726
PCBA-485297,0.758,0.725
PCBA-485313,0.749,0.725
PCBA-485364,0.614,0.619
PCBA-504332,0.606,0.566
PCBA-504333,0.666,0.678
